model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM2 1.31 4.58 0.75 0.35 629403.36 0.57 15.27 -19.86
GM2 1.55 4.00 0.46 0.42 1014777.06 0.73 16.95 -36.04
GM2 1.74 3.61 0.50 0.47 1166924.15 0.68 18.54 -36.00
GM2 2.15 3.00 0.70 0.58 1293063.93 0.70 20.38 -28.50
GM2 2.17 2.98 0.71 0.59 1362548.80 0.76 20.83 -28.59
GM2 2.60 2.52 2.01 0.71 2344725.18 0.85 24.76 -12.04
GM2 3.03 2.17 0.89 0.82 2290717.63 0.91 25.43 -28.02
GM2 3.29 2.00 2.10 0.90 1953110.36 0.86 26.28 -12.25
GM2 3.46 1.90 0.44 0.94 4278729.32 0.91 35.74 -78.58
GM2 3.89 1.67 1.97 1.07 5891122.48 0.94 34.60 -17.16
GM2 4.32 1.48 0.69 1.19 4533849.11 0.91 37.71 -53.46
GM2 5.19 1.18 3.31 1.44 2463627.12 0.87 56.16 -16.57
GM2 5.62 1.06 3.86 1.57 3797209.49 0.87 58.33 14.79
GM2 5.87 1.00 16.22 1.65 2631007.40 0.92 53.58 3.23
GM2 6.05 0.96 7.16 1.70 2329537.93 0.91 58.60 8.01
GM2 6.48 0.86 1.60 1.84 1856372.20 0.81 73.07 -44.58
GM2 6.91 0.77 0.99 1.97 1989125.88 0.81 69.42 -68.25
GM2 7.77 0.62 1.02 2.25 2069161.65 0.95 46.71 -44.85
GM2 8.20 0.56 3.11 2.39 1862687.76 0.93 43.93 -13.83
GM2 8.61 0.50 6.65 2.54 1636725.65 0.82 48.48 -7.13
GM2 8.63 0.50 5.75 2.54 1623012.42 0.80 48.71 -8.28
GM2 9.92 0.34 0.91 3.01 1218554.00 0.72 61.59 -65.93
GM2 10.35 0.29 0.60 3.17 1370597.71 0.76 52.65 -85.72
GM2 10.77 0.25 0.99 3.33 1382468.56 0.60 61.75 -60.71
GM2 11.65 0.17 0.46 3.69 6760408.32 0.89 58.30 -124.47
GM2 12.08 0.13 2.19 3.87 1680571.73 0.87 55.79 24.91
