model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM3noBHs 186 6.62 35189714.90 6038581885.31 829085953.98
GM3noBHs 223 8.18 73444142.79 7975150833.13 1107319721.98
GM3noBHs 256 9.40 117942023.90 9188617695.61 1292647501.34
GM3noBHs 273 10.25 135726551.22 10532400285.05 1429980128.90
GM3noBHs 345 14.63 276062037.50 19457096448.02 2477645405.66
GM3noBHs 384 16.26 393424196.34 21443588764.34 2854006893.21
GM3noBHs 454 18.77 612183040.17 23413630687.02 3181206345.53
GM3noBHs 512 21.16 814472618.76 26221927450.47 3650089411.19
GM3noBHs 635 28.98 1425346386.87 43640748603.94 6131963778.39
GM3noBHs 640 29.36 1446018367.16 44658241211.85 6279227397.69
GM3noBHs 768 39.72 2821961029.92 76036294214.39 11088703049.31
GM3noBHs 896 51.71 7713072813.54 122916196848.04 14468664075.22
GM3noBHs 972 61.85 14691262755.58 177160869187.58 18495443303.87
GM3noBHs 1024 71.90 18840523321.30 250764507800.94 27623057918.89
GM3noBHs 1152 83.61 25194376845.15 311232864723.62 30635472034.88
GM3noBHs 1280 96.68 31290813936.23 383814433243.72 40231473880.31
GM3noBHs 1408 106.97 34842908116.28 424998351329.13 45730891761.88
GM3noBHs 1536 119.08 39910664339.07 487376527434.67 53464222864.71
GM3noBHs 1664 127.78 42034482852.34 507612514263.77 54454186091.90
GM3noBHs 1739 132.68 46500309338.73 513409203840.45 55305313061.82
GM3noBHs 1792 136.21 47956695535.81 520016540206.15 55831815139.41
GM3noBHs 1920 142.91 49293552420.28 514041614190.59 56084919551.78
GM3noBHs 2048 150.08 48768483200.78 516266422644.71 57469399584.88
GM3noBHs 2176 160.39 53387978421.60 549122007096.27 59819295319.61
GM3noBHs 2304 169.52 55539998352.07 569997270518.13 61541296687.61
GM3noBHs 2432 178.54 58075419362.51 586981801276.07 63783432736.79
GM3noBHs 2554 187.20 60131840509.52 602430580503.56 66523972216.69
GM3noBHs 2560 187.61 60234878079.50 602624409054.58 66649953707.64
GM3noBHs 2688 196.37 62102106866.63 614453243402.25 69490884635.28
GM3noBHs 2816 206.46 64179050547.84 637265397036.14 72423418593.71
GM3noBHs 2944 215.95 65786956452.20 656847087330.87 73035844280.63
GM3noBHs 3072 225.43 67400843244.65 672023648305.52 73527989535.28
GM3noBHs 3195 233.90 69024945796.76 681127582233.69 72918340644.26
GM3noBHs 3200 234.16 69082391095.42 681392075953.87 72911798515.27
GM3noBHs 3328 242.81 70810139184.08 686997368774.38 71769192764.57
GM3noBHs 3456 251.97 72591759915.13 696920816036.55 70607599057.84
GM3noBHs 3584 261.56 74265810488.06 709091996789.70 69994051428.81
GM3noBHs 3712 275.44 76829567440.87 753975391451.84 74730766592.42
GM3noBHs 3840 285.74 78677322376.21 768649820269.92 75307837415.25
GM3noBHs 3968 296.01 80576189772.32 779744430045.21 75591032145.71
