model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM1 1.31 4.58 1.05 0.61 1363814.92 0.80 15.91 -40.57
GM1 1.52 4.04 0.37 0.66 1785846.62 0.78 17.43 -35.64
GM1 1.55 4.00 0.27 0.66 1621517.16 0.81 17.45 -30.83
GM1 1.74 3.61 1.28 0.71 1314524.24 0.74 19.52 -25.50
GM1 1.96 3.27 0.17 0.66 1537072.52 0.72 22.06 -66.70
GM1 2.17 2.98 1.43 0.62 1250860.75 0.77 22.70 -56.22
GM1 2.39 2.73 0.21 0.67 1288080.53 0.83 23.64 -22.19
GM1 2.82 2.33 1.02 0.78 1124258.69 0.80 26.04 -25.32
GM1 3.03 2.17 0.15 0.78 1237176.37 0.82 26.43 -36.44
GM1 3.25 2.03 0.02 0.69 1265456.82 0.83 24.18 -28.09
GM1 3.46 1.90 0.21 0.82 1624267.25 0.89 29.55 -52.00
GM1 3.68 1.78 0.34 0.75 3536034.10 0.92 35.95 -68.37
GM1 3.89 1.67 1.14 0.67 5558277.78 0.95 32.13 -23.15
GM1 4.11 1.57 inf 0.72 4832659.95 0.98 33.20 -9.40
GM1 4.32 1.48 0.27 0.79 3002483.90 0.94 36.28 -10.77
GM1 4.54 1.40 0.06 0.81 3961630.17 0.87 39.58 -38.91
GM1 4.76 1.32 inf 0.82 1881962.63 0.83 39.57 -44.18
GM1 4.97 1.25 0.08 0.83 2594003.73 0.90 40.69 -21.11
GM1 5.19 1.18 0.90 1.03 2762883.75 0.87 48.48 -14.24
GM1 5.40 1.12 inf 0.94 2390004.87 0.85 48.07 -39.09
GM1 5.62 1.06 0.49 1.19 1898151.69 0.81 56.70 20.39
GM1 5.83 1.01 0.21 1.35 1953141.21 0.82 64.04 -14.50
GM1 5.87 1.00 1.32 1.36 1884702.32 0.83 64.49 -17.11
GM1 6.05 0.96 1.21 1.41 1955512.99 0.83 67.40 -22.46
GM1 6.26 0.91 0.85 1.40 3319227.63 0.84 68.84 -39.97
GM1 6.48 0.86 1.30 1.44 2975848.81 0.87 70.82 -57.82
GM1 6.69 0.82 2.73 1.37 2528671.43 0.86 67.16 -39.69
GM1 6.91 0.77 0.06 1.09 2009626.26 0.86 54.37 -13.46
GM1 7.12 0.73 1.86 0.95 2039290.57 0.90 47.93 -9.15
GM1 7.34 0.70 1.05 1.00 2197749.75 0.91 50.74 -52.98
GM1 7.56 0.66 0.34 1.04 2085107.00 0.89 52.73 -66.64
GM1 7.77 0.62 0.06 1.03 2139740.49 0.85 52.39 -63.24
GM1 7.99 0.59 0.24 0.97 5142499.57 0.88 53.31 -115.64
GM1 8.20 0.56 0.85 0.75 5638159.25 0.93 43.34 -93.08
GM1 8.42 0.53 0.10 0.73 6354128.96 0.96 41.20 4.14
GM1 8.61 0.50 0.04 0.93 4626005.38 0.93 50.20 6.16
GM1 8.63 0.50 0.25 0.97 4693987.24 0.92 52.05 22.90
GM1 8.85 0.47 0.16 1.27 3622320.33 0.91 65.17 54.74
GM1 9.06 0.44 2.09 1.78 2917772.55 0.81 88.45 10.41
GM1 9.28 0.41 0.22 1.93 2881764.09 0.75 94.18 -21.84
GM1 9.49 0.39 1.99 2.19 1954786.61 0.72 104.67 -53.24
GM1 9.71 0.36 1.48 2.34 2145132.27 0.76 110.81 -73.19
GM1 9.92 0.34 0.87 2.37 1539349.52 0.71 112.04 -112.94
GM1 10.14 0.31 0.88 2.37 1559121.00 0.70 112.73 -132.25
GM1 10.57 0.27 0.57 1.97 1886466.77 0.73 96.81 -146.88
GM1 10.79 0.25 0.34 1.88 1666359.92 0.75 93.20 -175.65
GM1 11.00 0.23 0.37 1.74 1600601.51 0.76 88.80 -214.50
GM1 11.22 0.21 0.30 1.63 1606774.24 0.84 84.20 -215.17
GM1 11.43 0.19 0.24 1.39 1819655.85 0.90 74.10 -199.95
